flow_duration,total_fwd_packets,total_backward_packets,max_packet_length,average_packet_size,active_mean,label
20662,2,2,136,106.25,0,BENIGN
21036,2,2,107,76,0,BENIGN
247,3,2,6,7.2,0,BENIGN
482158,7,2,393,89.33333333333331,0,BENIGN
241,4,0,46,43.75,0,BENIGN
3,2,0,6,9,0,BENIGN
60848970,25,24,1670,134.9387755102041,88759.83333333334,BENIGN
164,4,0,53,13.25,0,BENIGN
1,2,0,6,9,0,BENIGN
21125,2,2,66,70.5,0,BENIGN
55720,1,3,6,7.5,0,BENIGN
3,3,0,6,8,0,BENIGN
20636,2,2,71,64.75,0,BENIGN
348,3,0,6,8,0,BENIGN
4,3,0,6,8,0,BENIGN
45398,2,2,102,75,0,BENIGN
110198888,32,30,384,46.838709677419345,51500.454545454544,BENIGN
45466,2,2,159,102.75,0,BENIGN
115444699,31,28,788,41.66101694915254,31675.181818181816,BENIGN
2,3,0,6,8,0,BENIGN
1,2,0,31,34,0,BENIGN
4,3,0,6,8,0,BENIGN
3,2,0,6,9,0,BENIGN
21229,2,2,82,64.25,0,BENIGN
4,3,0,6,8,0,BENIGN
20790,2,2,48,48,0,BENIGN
110,1,2,6,8,0,BENIGN
20610,2,2,102,75,0,BENIGN
118321642,52,67,2525,134,1066371.5,BENIGN
41193,1,1,6,9,0,BENIGN
30052850,12,11,1492,159.3913043478261,40176.5,BENIGN
1,2,0,6,9,0,BENIGN
5942603,5,2,6,2.5714285714285716,0,BENIGN
45898118,8,2,90,49.5,49186,BENIGN
55799,1,1,6,9,0,BENIGN
2,2,0,0,0,0,BENIGN
55738,1,3,6,7.5,0,BENIGN
89,1,2,6,8,0,BENIGN
20802,2,2,57,59.25,0,BENIGN
110,1,2,6,8,0,BENIGN
20788,2,2,70,63.5,0,BENIGN
20839,2,2,102,75,0,BENIGN
20775,2,2,61,55.25,0,BENIGN
61759,2,2,108,87,0,BENIGN
160,1,2,0,0,0,BENIGN
3,3,0,6,8,0,BENIGN
151943,18,16,3047,597.0294117647059,0,BENIGN
55396,1,1,6,9,0,BENIGN
460,4,0,46,43.75,0,BENIGN
1,2,0,31,34,0,BENIGN
20854,2,2,142,116,0,BENIGN
54663,2,2,103,80.75,0,BENIGN
2,2,0,6,9,0,BENIGN
4,3,0,0,0,0,BENIGN
20627,2,2,60,54,0,BENIGN
27,4,0,201,251.25,0,BENIGN
82871,1,1,6,9,0,BENIGN
7342510,2,8,0,0,0,BENIGN
20892,2,2,101,77.5,0,BENIGN
1,2,0,400,415.5,0,BENIGN
21000,2,2,64,68,0,BENIGN
156,1,2,6,8,0,BENIGN
91662,3,3,35,29.16666666666667,0,BENIGN
61170867,31,27,2648,227.4827586206896,105393.33333333334,BENIGN
66287,2,2,43,41.75,0,BENIGN
45329,2,2,159,102.75,0,BENIGN
161,4,0,46,43.75,0,BENIGN
320,1,3,6,7.5,0,BENIGN
2,2,0,6,9,0,BENIGN
60471629,31,24,1918,187.8181818181818,136585.66666666663,BENIGN
5297585,5,2,6,2.5714285714285716,0,BENIGN
30053408,12,11,436,71.91304347826087,69779,BENIGN
116617184,32,30,1430,178.03225806451616,320952,BENIGN
20589,2,2,66,58.5,0,BENIGN
14341216,2,10,0,0,6341249,BENIGN
20879,2,2,103,86.75,0,BENIGN
351,4,0,46,43.75,0,BENIGN
352,4,0,46,43.75,0,BENIGN
20874,2,2,94,75.5,0,BENIGN
21048,2,2,79,62.75,0,BENIGN
2,2,0,6,9,0,BENIGN
21059,2,2,132,103.5,0,BENIGN
110,1,3,37,18.5,0,BENIGN
115327498,39,0,0,0,5.083333333333333,BENIGN
115015622,39,0,0,0,7.166666666666668,BENIGN
173,1,2,6,8,0,BENIGN
21000,2,2,48,48,0,BENIGN
40912,1,1,6,9,0,BENIGN
70098308,18,24,175,51.85714285714285,106612,BENIGN
115234035,44,39,3047,316.27710843373495,61501.72727272727,BENIGN
67873,6,7,2267,355.46153846153845,0,BENIGN
20647,2,2,128,88,0,BENIGN
1,2,0,31,34,0,BENIGN
59663499,26,23,1752,201.46938775510205,110524.4,BENIGN
20861,2,2,57,47.25,0,BENIGN
58377,2,2,90,73.5,0,BENIGN
3,2,0,6,9,0,BENIGN
20928,2,2,87,69.75,0,BENIGN
94,1,2,0,0,0,BENIGN
3,3,0,6,8,0,BENIGN
20956,2,2,66,70.5,0,BENIGN
828,4,0,46,43.75,0,BENIGN
118081320,30,27,2896,218.73684210526315,150962.5,BENIGN
79718182,52,72,1757,325.7903225806452,3071707,BENIGN
41707,5,2,69,43,0,BENIGN
20587,2,2,70,59,0,BENIGN
64,1,2,6,8,0,BENIGN
109,1,2,6,8,0,BENIGN
118316377,49,58,3543,350.14953271028037,260893.66666666672,BENIGN
169,1,2,6,8,0,BENIGN
2,2,0,6,9,0,BENIGN
21127,2,2,327,191.25,0,BENIGN
356548,12,18,926,132.66666666666666,0,BENIGN
21237,2,2,128,88,0,BENIGN
0,2,0,31,34,0,BENIGN
57649,2,2,78,76.5,0,BENIGN
99,1,2,6,8,0,BENIGN
20894,2,2,111,90.75,0,BENIGN
4,3,0,6,8,0,BENIGN
20826,2,2,107,88.75,0,BENIGN
0,2,0,31,34,0,BENIGN
20818,2,2,94,75.5,0,BENIGN
54736,2,2,143,97.75,0,BENIGN
3,2,0,6,9,0,BENIGN
55437,2,2,61,64.25,0,BENIGN
7176571,2,8,0,0,0,BENIGN
117482232,30,27,2860,211.0877192982456,132859,BENIGN
20611,2,2,71,67.75,0,BENIGN
20645,2,2,66,70.5,0,BENIGN
117269103,32,32,593,79.4375,233377,BENIGN
5578634,5,2,6,2.5714285714285716,0,BENIGN
26903183,18,15,2408,221.8181818181818,222897,BENIGN
1,1,1,6,9,0,BENIGN
20596,2,2,59,61.75,0,BENIGN
20902,2,2,67,71.75,0,BENIGN
5051012,5,2,6,2.5714285714285716,0,BENIGN
118,1,2,6,8,0,BENIGN
76404152,38,42,1430,193.15,163487.5,BENIGN
21084,2,2,71,67.75,0,BENIGN
0,2,0,31,34,0,BENIGN
1,2,0,31,34,0,BENIGN
1,2,0,31,34,0,BENIGN
5968026,5,2,6,2.5714285714285716,0,BENIGN
21082,2,2,97,80.75,0,BENIGN
21035,2,2,43,41.75,0,BENIGN
1,2,0,31,31,0,BENIGN
20810,2,2,47,46.75,0,BENIGN
66930,2,2,101,79.75,0,BENIGN
55616,2,2,118,87.5,0,BENIGN
55036,1,1,6,9,0,BENIGN
1,2,0,31,34,0,BENIGN
881,4,0,46,42.25,0,BENIGN
21033,2,2,70,66.5,0,BENIGN
41084,4,2,69,38.66666666666666,0,BENIGN
55109,1,1,6,9,0,BENIGN
25,1,2,0,0,0,BENIGN
2,2,0,6,9,0,BENIGN
54727,2,2,57,59.25,0,BENIGN
110389285,57,58,3423,490.7304347826087,511653.3636363637,BENIGN
394,6,2,31,13,0,BENIGN
21055,2,2,113,92.5,0,BENIGN
15931091,16,20,2920,698.1666666666665,934711,BENIGN
1,2,0,31,34,0,BENIGN
725428,7,2,414,94,0,BENIGN
40931,1,1,6,9,0,BENIGN
115233665,46,42,3047,365.39772727272725,61530.909090909074,BENIGN
1,2,0,31,34,0,BENIGN
20835,2,2,103,86.75,0,BENIGN
68147,6,7,2267,352.0769230769232,0,BENIGN
1,2,0,0,0,0,BENIGN
145,1,2,6,8,0,BENIGN
1,2,0,31,34,0,BENIGN
1,2,0,31,31,0,BENIGN
44853,2,2,41,39.25,0,BENIGN
21005,2,2,117,81,0,BENIGN
20627,2,2,57,59.25,0,BENIGN
2,2,0,6,9,0,BENIGN
20837,2,2,212,129.25,0,BENIGN
20763,2,2,109,81.5,0,BENIGN
3,2,0,6,9,0,BENIGN
5746465,5,2,6,2.5714285714285716,0,BENIGN
662,5,0,39,34.2,0,BENIGN
20799,2,2,73,63.5,0,BENIGN
2,3,0,0,0,0,BENIGN
110139873,48,59,2526,131.98130841121494,211145.5,BENIGN
87,1,2,0,0,0,BENIGN
21330,2,2,305,188.5,0,BENIGN
21095,2,2,71,67.75,0,BENIGN
115645057,42,36,1497,122.75641025641028,40339,BENIGN
117782313,20,24,877,96.38636363636364,202726,BENIGN
109,1,2,6,8,0,BENIGN
155,1,2,6,8,0,BENIGN
57358,2,2,57,59.25,0,BENIGN
3,2,0,6,9,0,BENIGN
21598,2,2,128,88,0,BENIGN
44936,2,2,159,102.75,0,BENIGN
116010670,38,38,2141,107.19736842105264,30111.916666666664,BENIGN
231,3,0,6,8,0,BENIGN
62564131,28,42,892,75.58571428571429,3829124,BENIGN
1706034,11,11,2920,602.7272727272727,0,BENIGN
2,2,0,6,9,0,BENIGN
20986,2,2,159,102.75,0,BENIGN
21117,2,2,132,92.25,0,BENIGN
21026,2,2,107,88.75,0,BENIGN
416,4,0,46,43.75,0,BENIGN
172,1,2,6,8,0,BENIGN
53568,3,2,6,2.4,0,BENIGN
20823,2,2,41,39.25,0,BENIGN
9005309,6,0,0,0,3004889,BENIGN
54989,1,1,6,9,0,BENIGN
416,1,1,6,9,0,BENIGN
129161,16,14,1986,313.53333333333336,0,BENIGN
20643,2,2,61,64.25,0,BENIGN
61,1,2,0,0,0,BENIGN
3,2,0,6,9,0,BENIGN
39258,4,2,6,2,0,BENIGN
3,2,0,6,9,0,BENIGN
7324171,2,8,0,0,0,BENIGN
5521527,16,10,2004,336.03846153846155,174745,BENIGN
1,2,0,31,34,0,BENIGN
20863,2,2,71,67.75,0,BENIGN
20909,2,2,81,72.75,0,BENIGN
2,3,0,964,655,0,BENIGN
4,3,0,0,0,0,BENIGN
1,2,0,24,27,0,BENIGN
116971548,28,28,1430,174.25,254951.5,BENIGN
2,2,0,6,9,0,BENIGN
2,2,0,6,9,0,BENIGN
5520712,5,2,6,2.5714285714285716,0,BENIGN
1,2,0,31,31,0,BENIGN
110141871,48,61,2525,128.53211009174308,201250.75,BENIGN
117745248,36,39,2860,179.89333333333337,215814.5,BENIGN
188,1,2,6,8,0,BENIGN
21080,2,2,128,88,0,BENIGN
493361,18,14,1571,307.9375,0,BENIGN
62348,4,2,46,40.333333333333336,0,BENIGN
20782,2,2,48,48,0,BENIGN
41629,1,1,0,0,0,BENIGN
20984,2,2,79,77.75,0,BENIGN
111290779,138,138,3036,655.3115942028985,1680340.8000000005,BENIGN
2,2,0,6,9,0,BENIGN
20669,2,2,93,74.25,0,BENIGN
116932918,28,24,1430,216,124374.5,BENIGN
20788,2,2,255,150.75,0,BENIGN
24481,3,2,6,7.2,0,BENIGN
5516827,5,2,6,2.5714285714285716,0,BENIGN
148167,10,13,2728,546.304347826087,0,BENIGN
45425,2,2,86,61.75,0,BENIGN
2,2,0,6,9,0,BENIGN
196,1,2,6,8,0,BENIGN
48172,2,2,66,70.5,0,BENIGN
20638,2,2,103,86.75,0,BENIGN
115910575,38,37,2382,176.25333333333333,24661.66666666667,BENIGN
832017,7,2,517,116.88888888888889,0,BENIGN
908383,19,22,2920,772.0975609756098,0,BENIGN
1,2,0,31,34,0,BENIGN
74,1,2,6,8,0,BENIGN
83509693,172,287,3273,959.6252723311546,209633,BENIGN
21476,2,2,85,77,0,BENIGN
55724,1,3,6,7.5,0,BENIGN
20671,2,2,128,88,0,BENIGN
133,1,2,6,8,0,BENIGN
117596667,14,14,481,81.67857142857143,106236.5,BENIGN
105545,2,2,95,76.75,0,BENIGN
1,2,0,6,9,0,BENIGN
78,5,0,46,40,0,BENIGN
20861,2,2,71,67.75,0,BENIGN
20938,2,2,91,71,0,BENIGN
21166,2,2,128,88,0,BENIGN
0,2,0,31,34,0,BENIGN
47266,2,2,289,169.25,0,BENIGN
131309,16,12,1986,332.9642857142857,0,BENIGN
268,1,2,6,8,0,BENIGN
21767,1,2,6,8,0,BENIGN
47221,2,2,66,70.5,0,BENIGN
20846,2,2,87,69.75,0,BENIGN
158,1,2,6,8,0,BENIGN
154,1,2,6,8,0,BENIGN
21227,2,2,48,48,0,BENIGN
112658518,52,0,0,0,6.333333333333332,BENIGN
186,1,2,6,8,0,BENIGN
21105,2,2,73,70.25,0,BENIGN
1,2,0,53,53,0,BENIGN
254,3,0,6,8,0,BENIGN
534273,18,16,593,84.82352941176471,0,BENIGN
1,2,0,31,31,0,BENIGN
20946,2,2,56,58,0,BENIGN
21033,2,2,111,90.75,0,BENIGN
55069,1,1,6,9,0,BENIGN
20914,2,2,128,88,0,BENIGN
3155279,11,14,2920,797.36,0,BENIGN
21234,2,2,41,39.25,0,BENIGN
21086,2,2,102,83.25,0,BENIGN
20865,2,2,71,67.75,0,BENIGN
2,1,1,6,9,0,BENIGN
46103,2,2,47,46.75,0,BENIGN
30056943,12,11,1452,156.34782608695653,65081,BENIGN
1,2,0,31,34,0,BENIGN
20876,2,2,102,82.5,0,BENIGN
21181,2,2,86,76.75,0,BENIGN
60676,2,2,99,81.75,0,BENIGN
39258,1,3,6,7.5,0,BENIGN
20770,2,2,93,74.25,0,BENIGN
102,1,4,6,4.8,0,BENIGN
114668579,56,0,0,0,178706.16666666663,BENIGN
111538,2,2,89,67.75,0,BENIGN
54830,1,2,6,8,0,BENIGN
116317759,30,26,2103,215.67857142857144,138675.5,BENIGN
20950,2,2,86,76.75,0,BENIGN
166,1,2,6,8,0,BENIGN
20688,2,2,83,63.25,0,BENIGN
21058,2,2,93,74.25,0,BENIGN
228,1,4,37,13.4,0,BENIGN
123,1,2,6,8,0,BENIGN
45834,2,2,94,75.5,0,BENIGN
20744,2,2,100,79.25,0,BENIGN
20910,2,2,86,76.75,0,BENIGN
1,2,0,31,34,0,BENIGN
65055243,14,0,0,0,2399727.666666667,BENIGN
9014303,6,0,0,0,3013966,BENIGN
7348202,2,8,0,0,0,BENIGN
20672,2,2,59,61.75,0,BENIGN
96,1,2,0,0,0,BENIGN
20809,2,2,61,64.25,0,BENIGN
82379442,38,60,1830,91.85714285714286,753682,BENIGN
21019,2,2,71,67.75,0,BENIGN
377602,7,2,384,87.33333333333331,0,BENIGN
26941,1,5,284,120.66666666666669,0,BENIGN
20800,2,2,70,66.5,0,BENIGN
21103,2,2,143,97.75,0,BENIGN
4,3,0,6,8,0,BENIGN
7152410,2,8,0,0,0,BENIGN
55081,1,2,6,8,0,BENIGN
117323309,28,24,584,56.5,350272.5,BENIGN
112148979,16,10,46,29.34615384615385,283733,BENIGN
57036,2,2,59,61.75,0,BENIGN
7195404,2,8,0,0,0,BENIGN
21158,2,2,90,73.5,0,BENIGN
21226,2,2,41,39.25,0,BENIGN
64,1,4,6,4.8,0,BENIGN
1633732,32,45,1430,134.25974025974023,0,BENIGN
116672826,26,26,1430,170.23076923076923,254489.5,BENIGN
115564091,31,28,630,36.23728813559322,31559.90909090909,BENIGN
20724,2,2,48,48,0,BENIGN
46193,2,2,71,67.75,0,BENIGN
20528,2,2,58,60.5,0,BENIGN
29763,1,1,6,9,0,BENIGN
40647,1,1,6,9,0,BENIGN
20992,2,2,83,65.5,0,BENIGN
21547,1,1,6,9,0,BENIGN
98,1,2,6,8,0,BENIGN
55486,2,2,73,70.25,0,BENIGN
20722,2,2,118,87.5,0,BENIGN
0,2,0,31,34,0,BENIGN
14340839,2,10,0,0,6340805,BENIGN
2,2,0,6,9,0,BENIGN
113464787,56,0,0,0,30929.166666666664,BENIGN
7299431,2,8,0,0,0,BENIGN
9629581,8,0,0,0,4,BENIGN
20619,2,2,94,75.5,0,BENIGN
1,2,0,31,31,0,BENIGN
20920,2,2,112,89.75,0,BENIGN
20731,2,2,102,83.25,0,BENIGN
267,4,0,46,42.25,0,BENIGN
180,1,2,6,8,0,BENIGN
114856522,52,0,0,0,6.666666666666668,BENIGN
117063065,324,487,2860,766.8631319358816,426246.5,BENIGN
41071,1,3,6,7.5,0,BENIGN
63854,2,2,59,52.75,0,BENIGN
706,4,0,46,43.75,0,BENIGN
3,3,0,6,8,0,BENIGN
84327,2,2,6,3,0,BENIGN
20755,2,2,141,114.75,0,BENIGN
119396270,54,67,2525,130.71074380165288,1415125,BENIGN
118583270,64,89,2526,130.69281045751634,1095851,BENIGN
20856,2,2,51,51.75,0,BENIGN
1,2,0,31,34,0,BENIGN
418346,6,0,22,25.66666666666667,0,BENIGN
1,2,0,31,34,0,BENIGN
20760,2,2,127,98,0,BENIGN
20956,2,2,55,56.75,0,BENIGN
55229,3,7,2108,717.8,0,BENIGN
2,2,0,6,9,0,BENIGN
4,3,0,31,33,0,BENIGN
120,3,0,6,8,0,BENIGN
21015,2,2,128,88,0,BENIGN
161,1,2,6,8,0,BENIGN
52722,1,2,6,8,0,BENIGN
20908,2,2,103,86.75,0,BENIGN
54722,1,2,6,8,0,BENIGN
20707,2,2,127,86.75,0,BENIGN
22413,2,2,102,82.5,0,BENIGN
20631,2,2,94,75.5,0,BENIGN
20646,2,2,108,87,0,BENIGN
7298372,2,8,0,0,0,BENIGN
2,3,0,6,8,0,BENIGN
20558,2,2,57,59.25,0,BENIGN
20827,2,2,48,48,0,BENIGN
5399837,5,2,6,2.5714285714285716,0,BENIGN
21254,2,2,159,102.75,0,BENIGN
795202,7,2,378,86,0,BENIGN
2310,4,0,46,43.75,0,BENIGN
350,4,0,46,43.75,0,BENIGN
46268,2,2,99,111.75,0,BENIGN
76,4,2,31,17.5,0,BENIGN
21050,2,2,60,63,0,BENIGN
20852,2,2,128,88,0,BENIGN
20780,2,2,102,75,0,BENIGN
194,1,2,6,8,0,BENIGN
20885,2,2,59,61.75,0,BENIGN
20845,2,2,146,102.25,0,BENIGN
36633,3,18,2920,1392.190476190476,0,BENIGN
63512,2,2,79,65,0,BENIGN
20824,2,2,41,39.25,0,BENIGN
1,2,0,31,34,0,BENIGN
45804,7,4,517,96.72727272727272,0,BENIGN
1,2,0,31,34,0,BENIGN
30773,2,2,48,48,0,BENIGN
2,2,0,6,9,0,BENIGN
20587,2,2,85,77,0,BENIGN
808,4,0,46,43.75,0,BENIGN
40893,1,1,6,9,0,BENIGN
137468,2,2,109,81.5,0,BENIGN
1,2,0,31,34,0,BENIGN
243,5,2,31,14,0,BENIGN
297,4,0,39,36.75,0,BENIGN
1,2,0,31,31,0,BENIGN
1,2,0,31,34,0,BENIGN
5690514,10,8,585,91.61111111111111,116794,BENIGN
116631884,26,22,593,68.75,289431,BENIGN
46575,2,2,73,63.5,0,BENIGN
751590,7,2,429,97.33333333333331,0,BENIGN
21034,2,2,58,60.5,0,BENIGN
7125168,2,8,0,0,0,BENIGN
1,2,0,31,34,0,BENIGN
3,3,0,31,31,0,BENIGN
20915,2,2,71,67.75,0,BENIGN
115543996,31,28,788,41.593220338983045,31559.727272727272,BENIGN
115984347,31,28,788,41.593220338983045,31438.181818181827,BENIGN
20667,2,2,57,59.25,0,BENIGN
867,3,0,6,8,0,BENIGN
20836,2,2,127,86.75,0,BENIGN
1591,4,0,46,43.75,0,BENIGN
21358,2,2,85,77,0,BENIGN
298,1,2,6,8,0,BENIGN
21091,2,2,72,69,0,BENIGN
147,1,2,6,8,0,BENIGN
21015,2,2,66,58.5,0,BENIGN
27847,1,2,6,8,0,BENIGN
151,1,2,6,8,0,BENIGN
64888,2,2,91,68.75,0,BENIGN
9012191,6,0,0,0,2996212,BENIGN
91489,1,1,0,0,0,BENIGN
44462110,8,2,839,274.2,43684,BENIGN
3,2,0,6,9,0,BENIGN
20760,2,2,66,70.5,0,BENIGN
1,2,0,31,34,0,BENIGN
7335021,2,8,0,0,0,BENIGN
45897,2,2,87,69.75,0,BENIGN
169,1,2,6,8,0,BENIGN
3,3,0,0,0,0,BENIGN
20638,2,2,61,64.25,0,BENIGN
217,1,5,37,17.333333333333332,0,BENIGN
4,3,0,6,8,0,BENIGN
21285,2,2,87,69.75,0,BENIGN
1577213,34,45,1418,129.3164556962025,0,BENIGN
7194928,2,8,0,0,0,BENIGN
119116838,73,50,788,239.3658536585366,361214.00000000006,BENIGN
40914,1,1,0,0,0,BENIGN
20888,2,2,128,88,0,BENIGN
143069,14,14,1430,268.25,0,BENIGN
21026,2,2,111,90.75,0,BENIGN
21073,2,2,51,51.75,0,BENIGN
45895,2,2,51,51.75,0,BENIGN
21148,2,2,128,88,0,BENIGN
97,1,2,6,8,0,BENIGN
41143,1,1,6,9,0,BENIGN
69,1,2,0,0,0,BENIGN
20617,2,2,59,61.75,0,BENIGN
21134,2,2,43,41.75,0,BENIGN
20773,2,2,57,59.25,0,BENIGN
20992,2,2,71,67.75,0,BENIGN
509684,7,2,362,82.44444444444444,0,BENIGN
20977,2,2,56,58,0,BENIGN
1,2,0,31,31,0,BENIGN
20724,2,2,155,104.5,0,BENIGN
55993,1,3,6,7.5,0,BENIGN
3,3,0,6,8,0,BENIGN
28097,1,1,6,9,0,BENIGN
21035,2,2,46,45.5,0,BENIGN
20934,2,2,103,86.75,0,BENIGN
117330741,34,30,1430,165.65625,568381.5,BENIGN
0,2,0,31,34,0,BENIGN
20891,2,2,51,51.75,0,BENIGN
95095,14,13,2636,537.074074074074,0,BENIGN
110116919,32,28,788,81.8,30838.454545454544,BENIGN
40888,1,1,6,9,0,BENIGN
55889,1,3,6,7.5,0,BENIGN
64920780,10,0,0,0,3,BENIGN
21244,2,2,79,65,0,BENIGN
2,2,0,6,9,0,BENIGN
55838,1,3,6,7.5,0,BENIGN
2,2,0,6,9,0,BENIGN
0,2,0,31,34,0,BENIGN
91734,1,2,0,0,0,BENIGN
77960761,16,16,206,103.625,530995,BENIGN
117897717,30,27,2526,181.15789473684208,140116.5,BENIGN
116750158,30,27,2860,158.03508771929825,326621,BENIGN
21285,2,2,93,74.25,0,BENIGN
61212220,33,32,1904,279.9692307692308,130013.5,BENIGN
61,1,2,6,4,0,BENIGN
55311,2,2,128,88,0,BENIGN
21256,2,2,100,79.25,0,BENIGN
20773,2,2,79,65,0,BENIGN
117490299,16,16,246,57.0625,101658,BENIGN
114339591,52,0,0,0,6.166666666666666,BENIGN
2,3,0,6,8,0,BENIGN
21537,2,2,67,71.75,0,BENIGN
47886,2,2,61,64.25,0,BENIGN
162432,17,14,1430,267.54838709677415,0,BENIGN
1,2,0,31,34,0,BENIGN
117512286,16,16,181,58.5625,101202.5,BENIGN
62090,1,1,6,9,0,BENIGN
45027,2,2,58,60.5,0,BENIGN
45962,1,3,6,7.5,0,BENIGN
20888,2,2,57,59.25,0,BENIGN
21260,2,2,48,48,0,BENIGN
20644,2,2,102,81.75,0,BENIGN
3,3,0,0,0,0,BENIGN
20636,2,2,108,87,0,BENIGN
1,2,0,31,34,0,BENIGN
46778,2,2,103,86.75,0,BENIGN
3,3,0,6,8,0,BENIGN
1,2,0,31,34,0,BENIGN
1,2,0,31,34,0,BENIGN
738,3,4,6,5.142857142857143,0,BENIGN
20682,2,2,97,80.75,0,BENIGN
20838,2,2,108,78.75,0,BENIGN
7266192,2,8,0,0,0,BENIGN
195,1,2,6,8,0,BENIGN
20589,2,2,66,70.5,0,BENIGN
119114830,46,60,1035,109.28301886792453,922770,BENIGN
93,1,2,0,0,0,BENIGN
84240,3,33,1460,1255.75,0,BENIGN
45023,2,2,113,92.5,0,BENIGN
0,2,0,31,34,0,BENIGN
3,3,0,6,8,0,BENIGN
280,1,3,6,7.5,0,BENIGN
20559,2,2,73,63.5,0,BENIGN
1,2,0,31,34,0,BENIGN
192,1,2,6,8,0,BENIGN
56018,2,2,128,88,0,BENIGN
4,3,0,0,0,0,BENIGN
118085203,76,114,1938,730.5368421052632,195070,BENIGN
20898,2,2,85,77,0,BENIGN
45887,2,2,47,46.75,0,BENIGN
112361066,14,0,300,321.42857142857144,2800770,BENIGN
21092,2,2,101,79.75,0,BENIGN
111423770,15,0,300,320,5335941.333333333,BENIGN
1,2,0,31,34,0,BENIGN
207,3,2,39,27,0,BENIGN
161,1,2,6,8,0,BENIGN
20655,2,2,70,63.5,0,BENIGN
55093,2,2,57,59.25,0,BENIGN
20862,2,2,57,59.25,0,BENIGN
1,2,0,31,34,0,BENIGN
20875,2,2,255,150.75,0,BENIGN
7334096,2,8,0,0,0,BENIGN
117470374,36,40,1430,160.6315789473684,716219.5,BENIGN
5520242,5,2,6,2.5714285714285716,0,BENIGN
20689,2,2,94,75.5,0,BENIGN
327,1,5,37,17.333333333333332,0,BENIGN
115645102,78,70,3517,550.1013513513514,61204.363636363625,BENIGN
3,2,0,0,0,0,BENIGN
1,2,0,53,53,0,BENIGN
14,4,0,201,251.25,0,BENIGN
1,2,0,31,34,0,BENIGN
33588,2,2,6,3,0,BENIGN
21392,2,2,93,74.25,0,BENIGN
21209,2,2,102,82.5,0,BENIGN
92537,3,3,35,29.16666666666667,0,BENIGN
20883,2,2,255,162.75,0,BENIGN
278,4,0,46,42.25,0,BENIGN
41645,1,1,6,9,0,BENIGN
160,1,2,6,8,0,BENIGN
14340944,2,10,0,0,6340715,BENIGN
36435473,6,2,46,31.75,62416,BENIGN
255,1,4,37,13.4,0,BENIGN
259,1,3,6,7.5,0,BENIGN
1,2,0,6,9,0,BENIGN
27533267,10,10,165,60.35,140934,BENIGN
20758,2,2,255,150.75,0,BENIGN
5950670,5,2,6,2.5714285714285716,0,BENIGN
1,2,0,6,9,0,BENIGN
118,1,2,6,8,0,BENIGN
3,3,0,6,8,0,BENIGN
21166,2,2,90,73.5,0,BENIGN
20736,2,2,60,63,0,BENIGN
3,2,0,6,9,0,BENIGN
20697,2,2,58,60.5,0,BENIGN
20893,2,2,110,88,0,BENIGN
20792,2,2,58,60.5,0,BENIGN
20152593,32,23,2896,256.1636363636364,212159,BENIGN
