course_title,course_descriptions
ISA 406. IT Project Management. (3),"Information technology project management theories, techniques, and software tools are taught. Focus is on the problems and methods of conduction projects with special attention to modern information technology and software implementation projects.
Prerequisites: ISA 387 or CSE 201.
"
ISA 412/ISA 512. Data Warehousing and Business Intelligence. (3),"The first part of this course deals with the design of data warehouses for business intelligence purposes. In particular, students learn about different design practices and architectures of data warehouses, how to design multidimensional databases, and how to create data integration workflows (ETL processes) to populate and update data warehouses. After learning how to design and populate data warehouses, students learn in the second part of the course how to perform descriptive analytics using different querying languages and tools, and how to create business reports and dashboards based on data from data warehouses.
Prerequisite: Math concepts covered in ISA/STA 250.
"
ISA 414/ISA 514. Managing Big Data. (3),"This course provides an introduction to the storage, retrieval and analysis of unstructured and big data. Topics include web analytics, text processing, text analytics such as sentiment analysis, and trend detection in unstructured data. The course will cover and use frameworks that use distributed computing, cloud-based systems for analyzing business information data that contain both structured and unstructured data. Managing big data in organizations, and visualizing big data is introduced.
Prerequisites: ISA 245 or CSE 385 and one of (ISA 281, ISA 401/ISA 501, ISA 491/ISA 591, STA 402/STA 502, STA 404/STA 504); or permission of instructor.
"
ISA 419. Data Driven Security. (3),"Traditionally, information technology (IT) security entailed using a few tools, solutions and best practices that focused on attack prevention and protecting a company's sensitive information and network assets. However, these solutions are no longer sufficient. Businesses are transitioning to a new era, where cybersecurity is enhanced and almost requires data-driven analytical solutions. The primarily goals of data-driven security are to: a) discover malicious patterns from the data-lakes of logs produced by security software, b) develop automated tools that can assist in the surveillance of security-related data. This course covers various analytic applications in information/ cybersecurity including: user behavior analysis, network and host intrusion detection, web security, phishing detection, and emerging issues in Industrial Internet of Things (IIoT) security. The course is very applied and involves a large amount of programming to examine real datasets.
Prerequisites: BUS 104, ISA 225 and ISA 235.
"
ISA 424. Data Infrastructure for the Enterprise. (3),"This course provides a broad overview of the data infrastructure needs of business for data based decision making. It discusses emerging and established technologies for storing data such as data warehouses, data lakes, nosql database systems, and cloud computing systems. The course also introduces the students to managerial issues organizations face with data.
Prerequisite: ISA 245.
"
ISA 432. Survey Sampling in Business. (3) (MPT),"Survey sampling with application to problems of business research. Simple random sampling, systematic sampling, stratified random sampling, ratio estimation, and cluster sampling.
Prerequisite: ECO 311, ISA 291, STA 363, STA 401/STA 501 or STA 463/STA 563 or permission of instructor.
Cross-listed with STA.
"
ISA 444. Business Forecasting. (3) (MPT),"Applied techniques useful in analyzing and forecasting business time series. Emphasis on Box/Jenkins methodology. Time series regression with autocorrelated errors, exponential smoothing, and classical decomposition are also discussed.
Prerequisite: ECO 311, ISA 291 or STA 463/STA 563.
"
ISA 477. Independent Studies. (0-6),
ISA 480. Topics in Business Analytics. (1-3; maximum 3),"Issues oriented seminar focused upon significant emerging topics in the business analytics field.
Prerequisite: determined by professor.
"
ISA 481. Topics in Information Systems. (3-4; maximum 3),"Issues oriented seminar focused upon significant emerging topics in the decision sciences field.
Prerequisite: determined by professor.
"
ISA 491/ISA 591. Introduction to Data Mining in Business. (3) (MPT),"Analysis of large data sets related to business is the focus. Topics such as cluster analysis, market basket analysis, tree diagrams, logistic regression, neural nets, model evaluation and application will be presented and implemented using current data mining software.
Prerequisite: ECO 311, ISA 291, or STA 463/STA 563.
"
ISA 495. Managing the Intelligent Enterprise. (3) (MPC),"Includes research, reading, writing, and discussion. Independent research on a topic and company from a management information systems perspective. Respond to issues or problems raised in cases in an analytic and creative manner. Present topic report and research to class.
Prerequisite: Farmer School of Business core courses, senior standing.
"
ISA 496. Business Analytics Practicum. (3),"Provide analytics consulting to various business clients to work through and solve analytical, data driven problems. Course will utilize skills gained from previous anlaytics courses including data mining, vizsualization, modeling and data skills.
Prerequisite: ISA 401/ISA 501 or ISA 491/ISA 591.
"
ISA 616. Communicating with Data. (3),"Bridges the study of technical and computational tools to the audiences who need the results of this work. This course will span the entire process of developing a data analytic product from consultation with a client to implementing a solution to presenting the solution to the client. This course will address the fundamentals of effectively communicating with and about quantitative analyses. Topics include using data visualization to describe data; document descriptive, predictive, and prescriptive analytical methods for reproducibility; write professional white papers and technical reports; and ethical considerations related to writing and communication with data.
Cross-listed with STA.
"
ISA 621. Enabling Technology Topics I. (3),"Examines existing and emerging information technology (IT) within the organization. The foci of the course are the role IT plays in business processes, the underlying theoretical basis for innovation through IT, methodologies for successful IT innovation, and infrastructure technologies commonly employed and why.
"
ISA 625. Management of Information Technology. (3),"Offers rigorous study of information technology (IT) resources in organizations with an emphasis on electronic commerce technologies. The underlying theme of this course is strategic uses of IT by organizations for operating support, improving productivity, and gaining competitive advantage.
"
ISA 628. Information Technology and Analytic's Role in the Enterprise. (1.5),"Examines existing and emerging information technology (IT) for reinventing processes, managing and disseminating data, and consuming that data to improve decision making within the organization. The foci of the course are the role IT plays in business processes, the underlying theoretical basis for innovation through IT, infrastructure technologies commonly employed and technologies for leveraging data.
"
ISA 629. Leveraging IT and Data Across the Business. (1.5),"This course introduces common technologies and techniques for data manipulation and consumption in various business processes common to most organizations. The course is integrated with and taught in conjunction with the three other domain specific courses in the Certificate in Business Management taught in the first semester of the Master's in Management. Students will learn current tools and apply common techniques to solve discipline specific problems. The course reinforces both the use of data and technology for decision making and the domain specific knowledge covered in the other courses.
Prerequisite or Co-requisite: ISA 628.
"
ISA 630. Machine Learning Applications in Business. (3),"In this course students will learn supervised and unsupervised modeling techniques using artificial intelligence and machine learning. Methods will include ensemble modeling, customized ensembles and deep learning. The course will focus on the impact and implications of these advanced techniques in business.
Prerequisite: ISA 591.
"
ISA 632. Big Data Analytics and Modern AI. (3),"This course will further develop students’ big data and AI skills for advanced data analytics tasks. We will introduce advanced operations and functions in in-memory cluster computing and non-relational storage solutions, and investigate how to integrate various data sources into a data lake. We will also discuss how data governance can help to improve the management and quality of big data. Moreover, we will examine advanced analytics functions enabled by in-memory cluster computing, such as distributed machine learning, real-time analytics on streaming data, and large-scale social network analysis. Following that, we will cover data-driven modern AI technologies, such as natural language processing, speech recognition, image processing and dialog generation. Those topics will be taught in an applied way, without focusing too much on the theory.
Prerequisites: ISA 514.
"
ISA 633. Prescriptive Analytics in Business. (3),"This course will cover different strategies to optimize decision-making in practice. The course is divided into three main modules. Students will be first introduced to statistically designed experiments and their use to find optimal courses of action in different business settings. In the second module, students will utilize mathematical models to take an abstract business problem and represent it using mathematical equations/relationships. The third module introduces students to discrete-event simulations and how it can be used to evaluate a number of what-if-analyses. Using the knowledge from this class, the students will model real-world business problems in the domains of: supply chain management, human resource management, finance, accounting, economics and/or marketing.
"
ISA 634. Analytics Solution Deployment and Lifecycle Management. (3),"This course will introduce students to current and emerging methods and technologies for deploying and managing analytical solutions in practice.The emphasis will be on how organizations embed analytical solutions into corporate technology systems and infrastructures to make the solutions consumable. This will include performing business validation of the model, developing an execution plan for deployment, monitoring, and maintenance of the solution. The course will include deploying analytics solutions to a small number of users as well as scaling solutions throughout the enterprise. We will examine methodologies for tracking model quality and changes over time.
"
ISA 636. Managing Data for Business Analytics. (3),"A survey of approaches to efficiently organize, store, query, and generate reports from both structured and unstructured data. The course will cover and use frameworks that use relational databases, distributed computing, cloud-based systems for analyzing business information data. An emphasis will be laid on producing information and effectively communicating the results. Managing big data in organizations, and visualizing big data is introduced.
"
ISA 638. Predictive Analytics and Data Mining. (3),"An in-depth look at predictive modeling using decision trees, neural networks, logistic regression and ensemble methods. Best practices for building, comparing, and implementing predictive models are presented. Other topics include unsupervised learning techinques such as cluster anlaysis, segmentation anlaysis, market basket, and sequence analysis. Emphasis on use of software and real-world applications.
Cross-listed with STA.
"
ISA 641. Data Discovery Through Business Analytics for Managers. (2),"This course introduces the current, basic tools and methods of data driven decision making. Included in the course will be introduction to programming using open source software. Students will learn to apply basic programming concepts to summarize and visualize data as well as cursory data discovery.
"
ISA 650. Business Analytics Practicum. (3; maximum 6),"The graduate level Business Analytics Practicum is an immersive, project-based, experiential course intended to draw on skills and knowledge gained in courses throughout the MS in Business Analytics program. Students will be immersed in a semester long data driven problem solving project that requires the selection and application of appropriate skills, tools and methodologies covered in the MSBA program to address the problem at hand and appropriately communicate findings to multiple audiences.
Prerequisites: Completion of the 12 hours of coursework in the Graduate Certificate in Analytics.
"
ISA 680. Special Studies in Decision Sciences. (1-3),"Intensive reading or research in a selected field of advanced decision sciences.
Prerequisite: graduate standing and permission of instructor.
"
ISA 681. Studies-Management Information Systems. (1-3),
