caucus,congress_numbers,current,description,district,enddate,leadership_title,party,phone,role_type,role_type_label,senator_class,senator_class_label,senator_rank,senator_rank_label,startdate,state,title,title_long,website,extra.address,extra.contact_form,extra.office,extra.rss_url,extra.party_affiliations,extra.end-type,extra.how,person.bioguideid,person.birthday,person.cspanid,person.fediverse_webfinger,person.firstname,person.gender,person.gender_label,person.lastname,person.link,person.middlename,person.name,person.namemod,person.nickname,person.osid,person.pvsid,person.sortname,person.twitterid,person.youtubeid
NA,,TRUE,Junior Senator for Connecticut,NA,2025-01-03,NA,Democrat,202-224-4041,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,CT,Sen.,Senator,https://www.murphy.senate.gov,136 Hart Senate Office Building Washington DC 20510,https://www.murphy.senate.gov/contact,136 Hart Senate Office Building,http://www.theday.com/article/20121216/nws12/312169935/1069/rss,,NA,NA,M001169,1973-08-03,1021270,NA,Christopher,male,Male,Murphy,https://www.govtrack.us/congress/members/christopher_murphy/412194,S.,Sen. Christopher Murphy [D-CT],,,N00027566,NA,"Murphy, Christopher (Sen.) [D-CT]",SenMurphyOffice,senchrismurphy
NA,,TRUE,Junior Senator for Hawaii,NA,2025-01-03,NA,Democrat,202-224-6361,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,HI,Sen.,Senator,https://www.hirono.senate.gov,109 Hart Senate Office Building Washington DC 20510,https://www.hirono.senate.gov/contact,109 Hart Senate Office Building,http://www.hirono.senate.gov/rss/feeds/?type=all,,NA,NA,H001042,1947-11-03,91216,NA,Mazie,female,Female,Hirono,https://www.govtrack.us/congress/members/mazie_hirono/412200,K.,Sen. Mazie Hirono [D-HI],,,N00028139,NA,"Hirono, Mazie (Sen.) [D-HI]",MazieHirono,CongresswomanHirono
NA,,TRUE,Junior Senator for New York,NA,2025-01-03,NA,Democrat,202-224-4451,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,NY,Sen.,Senator,https://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,https://www.gillibrand.senate.gov/contact/email-me,478 Russell Senate Office Building,http://www.gillibrand.senate.gov/rss/,,NA,NA,G000555,1966-12-09,1022862,NA,Kirsten,female,Female,Gillibrand,https://www.govtrack.us/congress/members/kirsten_gillibrand/412223,E.,Sen. Kirsten Gillibrand [D-NY],,,N00027658,NA,"Gillibrand, Kirsten (Sen.) [D-NY]",GillibrandNY,KirstenEGillibrand
NA,,TRUE,Senior Senator for Minnesota,NA,2025-01-03,Senate Democratic Steering Committee Chair,Democrat,202-224-3244,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,MN,Sen.,Senator,https://www.klobuchar.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,https://www.klobuchar.senate.gov/public/index.cfm/contact,425 Dirksen Senate Office Building,NA,,NA,NA,K000367,1960-05-25,83701,NA,Amy,female,Female,Klobuchar,https://www.govtrack.us/congress/members/amy_klobuchar/412242,Jean,Sen. Amy Klobuchar [D-MN],,,N00027500,NA,"Klobuchar, Amy (Sen.) [D-MN]",SenAmyKlobuchar,senatorklobuchar
NA,,TRUE,Senior Senator for Montana,NA,2025-01-03,NA,Democrat,202-224-2644,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,MT,Sen.,Senator,https://www.tester.senate.gov,311 Hart Senate Office Building Washington DC 20510,https://www.tester.senate.gov/?p=email_senator,311 Hart Senate Office Building,http://www.tester.senate.gov/rss/?p=hot_topic,,NA,NA,T000464,1956-08-21,1020176,NA,Jon,male,Male,Tester,https://www.govtrack.us/congress/members/jon_tester/412244,,Sen. Jon Tester [D-MT],,,N00027605,NA,"Tester, Jon (Sen.) [D-MT]",SenatorTester,senatorjontester
NA,,TRUE,Senior Senator for Pennsylvania,NA,2025-01-03,NA,Democrat,202-224-6324,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,PA,Sen.,Senator,https://www.casey.senate.gov,393 Russell Senate Office Building Washington DC 20510,https://www.casey.senate.gov/contact,393 Russell Senate Office Building,http://www.casey.senate.gov/rss/feeds/?all,,NA,NA,C001070,1960-04-13,47036,NA,Robert,male,Male,Casey,https://www.govtrack.us/congress/members/robert_casey/412246,P.,Sen. Robert “Bob” Casey [D-PA],Jr.,Bob,N00027503,NA,"Casey, Robert “Bob” (Sen.) [D-PA]",SenBobCasey,SenatorBobCasey
NA,,TRUE,Junior Senator for Rhode Island,NA,2025-01-03,NA,Democrat,202-224-2921,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,RI,Sen.,Senator,https://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,https://www.whitehouse.senate.gov/contact/email-sheldon,530 Hart Senate Office Building,http://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,,NA,NA,W000802,1955-10-20,92235,NA,Sheldon,male,Male,Whitehouse,https://www.govtrack.us/congress/members/sheldon_whitehouse/412247,,Sen. Sheldon Whitehouse [D-RI],,,N00027533,NA,"Whitehouse, Sheldon (Sen.) [D-RI]",SenWhitehouse,SenatorWhitehouse
NA,,TRUE,Senior Senator for Wyoming,NA,2025-01-03,Senate Republican Conference Chair,Republican,202-224-6441,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,WY,Sen.,Senator,https://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,https://www.barrasso.senate.gov/public/index.cfm/contact-form,307 Dirksen Senate Office Building,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=Rss.Feed,,NA,NA,B001261,1952-07-21,1024777,NA,John,male,Male,Barrasso,https://www.govtrack.us/congress/members/john_barrasso/412251,A.,Sen. John Barrasso [R-WY],,,N00006236,NA,"Barrasso, John (Sen.) [R-WY]",SenJohnBarrasso,barrassowyo
NA,,TRUE,Senior Senator for New Mexico,NA,2025-01-03,NA,Democrat,202-224-5521,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,NM,Sen.,Senator,https://www.heinrich.senate.gov,709 Hart Senate Office Building Washington DC 20510,https://www.heinrich.senate.gov/contact,709 Hart Senate Office Building,NA,,NA,NA,H001046,1971-10-17,1030686,NA,Martin,male,Male,Heinrich,https://www.govtrack.us/congress/members/martin_heinrich/412281,,Sen. Martin Heinrich [D-NM],,,N00029835,NA,"Heinrich, Martin (Sen.) [D-NM]",MartinHeinrich,SenMartinHeinrich
Democrat,,TRUE,Senior Senator for West Virginia,NA,2025-01-03,Senate Democratic Policy & Communications Committee Vice Chair,Independent,202-224-3954,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,WV,Sen.,Senator,https://www.manchin.senate.gov,306 Hart Senate Office Building Washington DC 20510,https://www.manchin.senate.gov/public/index.cfm/contact-form,306 Hart Senate Office Building,http://www.manchin.senate.gov/public/index.cfm/rss/feed,,NA,NA,M001183,1947-08-24,62864,NA,Joe,male,Male,Manchin,https://www.govtrack.us/congress/members/joe_manchin/412391,,Sen. Joe Manchin [I-WV],III,,N00032838,NA,"Manchin, Joe (Sen.) [I-WV]",Sen_JoeManchin,SenatorJoeManchin
Democrat,,TRUE,Senior Senator for Arizona,NA,2025-01-03,NA,Independent,202-224-4521,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,AZ,Sen.,Senator,https://www.sinema.senate.gov,317 Hart Senate Office Building Washington DC 20510,https://www.sinema.senate.gov/contact-kyrsten,317 Hart Senate Office Building,NA,,NA,NA,S001191,1976-07-12,68489,NA,Kyrsten,female,Female,Sinema,https://www.govtrack.us/congress/members/kyrsten_sinema/412509,,Sen. Kyrsten Sinema [I-AZ],,,N00033983,NA,"Sinema, Kyrsten (Sen.) [I-AZ]",SenatorSinema,repsinema
NA,,TRUE,Senior Senator for Massachusetts,NA,2025-01-03,Senate Democratic Conference Vice Chair,Democrat,202-224-4543,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,MA,Sen.,Senator,https://www.warren.senate.gov,309 Hart Senate Office Building Washington DC 20510,https://www.warren.senate.gov/?p=email_senator,309 Hart Senate Office Building,http://www.warren.senate.gov/rss/?p=hot_topic,,NA,NA,W000817,1949-06-22,1023023,NA,Elizabeth,female,Female,Warren,https://www.govtrack.us/congress/members/elizabeth_warren/412542,,Sen. Elizabeth Warren [D-MA],,,N00033492,NA,"Warren, Elizabeth (Sen.) [D-MA]",SenWarren,senelizabethwarren
Democrat,,TRUE,Junior Senator for Maine,NA,2025-01-03,NA,Independent,202-224-5344,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,ME,Sen.,Senator,https://www.king.senate.gov,133 Hart Senate Office Building Washington DC 20510,https://www.king.senate.gov/contact,133 Hart Senate Office Building,http://www.king.senate.gov/rss/feeds/?type=all,,NA,NA,K000383,1944-03-31,37413,NA,Angus,male,Male,King,https://www.govtrack.us/congress/members/angus_king/412545,S.,Sen. Angus King [I-ME],Jr.,,N00034580,NA,"King, Angus (Sen.) [I-ME]",SenAngusKing,SenatorAngusKing
NA,,TRUE,Junior Senator for North Dakota,NA,2025-01-03,NA,Republican,202-224-2043,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,ND,Sen.,Senator,https://www.cramer.senate.gov,313 Hart Senate Office Building Washington DC 20510,https://www.cramer.senate.gov/contact/contact-kevin,313 Hart Senate Office Building,NA,,NA,NA,C001096,1961-01-21,7600,NA,Kevin,male,Male,Cramer,https://www.govtrack.us/congress/members/kevin_cramer/412555,,Sen. Kevin Cramer [R-ND],,,N00004614,NA,"Cramer, Kevin (Sen.) [R-ND]",SenKevinCramer,kevincramer
NA,,TRUE,Senior Senator for Nebraska,NA,2025-01-03,NA,Republican,202-224-6551,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,NE,Sen.,Senator,https://www.fischer.senate.gov,448 Russell Senate Office Building Washington DC 20510,https://www.fischer.senate.gov/public/index.cfm/contact,448 Russell Senate Office Building,http://www.fischer.senate.gov/public/index.cfm/rss/feed,,NA,NA,F000463,1951-03-01,1034067,NA,Deb,female,Female,Fischer,https://www.govtrack.us/congress/members/deb_fischer/412556,,Sen. Deb Fischer [R-NE],,,N00033443,NA,"Fischer, Deb (Sen.) [R-NE]",SenatorFischer,senatordebfischer
NA,,TRUE,Junior Senator for Texas,NA,2025-01-03,NA,Republican,202-224-5922,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,TX,Sen.,Senator,https://www.cruz.senate.gov,167 Russell Senate Office Building Washington DC 20510,https://www.cruz.senate.gov/?p=form&id=16,167 Russell Senate Office Building,NA,,NA,NA,C001098,1970-12-22,1019953,NA,Ted,male,Male,Cruz,https://www.govtrack.us/congress/members/ted_cruz/412573,,Sen. Ted Cruz [R-TX],,,N00033085,NA,"Cruz, Ted (Sen.) [R-TX]",SenTedCruz,sentedcruz
NA,,TRUE,Junior Senator for Virginia,NA,2025-01-03,NA,Democrat,202-224-4024,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,VA,Sen.,Senator,https://www.kaine.senate.gov,231 Russell Senate Office Building Washington DC 20510,https://www.kaine.senate.gov/contact,231 Russell Senate Office Building,http://www.kaine.senate.gov/rss/feeds/?type=all,,NA,NA,K000384,1958-02-26,49219,NA,Timothy,male,Male,Kaine,https://www.govtrack.us/congress/members/timothy_kaine/412582,,Sen. Timothy “Tim” Kaine [D-VA],,Tim,N00033177,NA,"Kaine, Timothy “Tim” (Sen.) [D-VA]",NA,SenatorTimKaine
NA,,TRUE,Junior Senator for Nevada,NA,2025-01-03,NA,Democrat,202-224-6244,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,NV,Sen.,Senator,https://www.rosen.senate.gov,713 Hart Senate Office Building Washington DC 20510,https://www.rosen.senate.gov/contact_jacky,713 Hart Senate Office Building,NA,,NA,NA,R000608,1957-08-02,104738,NA,Jacky,female,Female,Rosen,https://www.govtrack.us/congress/members/jacky_rosen/412715,,Sen. Jacky Rosen [D-NV],,,N00038734,NA,"Rosen, Jacky (Sen.) [D-NV]",SenJackyRosen,NA
NA,,TRUE,Junior Senator for Florida,NA,2025-01-03,NA,Republican,202-224-5274,senator,Senator,class1,Class 1,junior,Junior,2019-01-08,FL,Sen.,Senator,https://www.rickscott.senate.gov,110 Hart Senate Office Building Washington DC 20510,https://www.rickscott.senate.gov/contact/contact,110 Hart Senate Office Building,NA,,NA,NA,S001217,1952-12-01,NA,NA,Rick,male,Male,Scott,https://www.govtrack.us/congress/members/rick_scott/412838,,Sen. Rick Scott [R-FL],,,N00043290,NA,"Scott, Rick (Sen.) [R-FL]",SenRickScott,NA
NA,,TRUE,Junior Senator for Indiana,NA,2025-01-03,NA,Republican,202-224-4814,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,IN,Sen.,Senator,https://www.braun.senate.gov,404 Russell Senate Office Building Washington DC 20510,https://www.braun.senate.gov/contact-mike,404 Russell Senate Office Building,NA,,NA,NA,B001310,1954-03-24,NA,NA,Mike,male,Male,Braun,https://www.govtrack.us/congress/members/mike_braun/412839,,Sen. Mike Braun [R-IN],,,N00041731,NA,"Braun, Mike (Sen.) [R-IN]",SenatorBraun,NA
NA,,TRUE,Senior Senator for Missouri,NA,2025-01-03,NA,Republican,202-224-6154,senator,Senator,class1,Class 1,senior,Senior,2019-01-03,MO,Sen.,Senator,https://www.hawley.senate.gov,115 Russell Senate Office Building Washington DC 20510,https://www.hawley.senate.gov/contact-senator-hawley,115 Russell Senate Office Building,NA,,NA,NA,H001089,1979-12-31,NA,NA,Joshua,male,Male,Hawley,https://www.govtrack.us/congress/members/joshua_hawley/412840,,Sen. Joshua “Josh” Hawley [R-MO],,Josh,N00041620,NA,"Hawley, Joshua “Josh” (Sen.) [R-MO]",SenHawleyPress,NA
NA,,TRUE,Junior Senator for Utah,NA,2025-01-03,NA,Republican,202-224-5251,senator,Senator,class1,Class 1,junior,Junior,2019-01-03,UT,Sen.,Senator,https://www.romney.senate.gov,354 Russell Senate Office Building Washington DC 20510,https://www.romney.senate.gov/contact-senator-romney,354 Russell Senate Office Building,NA,,NA,NA,R000615,1947-03-12,NA,NA,Mitt,male,Male,Romney,https://www.govtrack.us/congress/members/mitt_romney/412841,,Sen. Mitt Romney [R-UT],,,N00000286,NA,"Romney, Mitt (Sen.) [R-UT]",SenatorRomney,NA
NA,,TRUE,Senior Senator for Maine,NA,2027-01-03,NA,Republican,202-224-2523,senator,Senator,class2,Class 2,senior,Senior,2021-01-03,ME,Sen.,Senator,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,https://www.collins.senate.gov/contact,413 Dirksen Senate Office Building,http://www.collins.senate.gov/public/?a=rss.feed,,NA,NA,C001035,1952-12-07,45738,NA,Susan,female,Female,Collins,https://www.govtrack.us/congress/members/susan_collins/300025,M.,Sen. Susan Collins [R-ME],,,N00000491,NA,"Collins, Susan (Sen.) [R-ME]",SenatorCollins,SenatorSusanCollins
NA,,TRUE,Senior Senator for Texas,NA,2027-01-03,NA,Republican,202-224-2934,senator,Senator,class2,Class 2,senior,Senior,2021-01-03,TX,Sen.,Senator,https://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,https://www.cornyn.senate.gov/contact,517 Hart Senate Office Building,http://www.cornyn.senate.gov/public/?a=rss.feed,,NA,NA,C001056,1952-02-02,93131,NA,John,male,Male,Cornyn,https://www.govtrack.us/congress/members/john_cornyn/300027,,Sen. John Cornyn [R-TX],,,N00024852,NA,"Cornyn, John (Sen.) [R-TX]",JohnCornyn,senjohncornyn
NA,,TRUE,Senior Senator for Illinois,NA,2027-01-03,Senate Majority Whip,Democrat,202-224-2152,senator,Senator,class2,Class 2,senior,Senior,2021-01-03,IL,Sen.,Senator,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,https://www.durbin.senate.gov/contact/,711 Hart Senate Office Building,http://durbin.senate.gov/public/index.cfm/rss/feed,,NA,NA,D000563,1944-11-21,6741,NA,Richard,male,Male,Durbin,https://www.govtrack.us/congress/members/richard_durbin/300038,J.,Sen. Richard Durbin [D-IL],,,N00004981,NA,"Durbin, Richard (Sen.) [D-IL]",SenatorDurbin,SenatorDurbin
NA,,TRUE,Senior Senator for South Carolina,NA,2027-01-03,NA,Republican,202-224-5972,senator,Senator,class2,Class 2,senior,Senior,2021-01-03,SC,Sen.,Senator,https://www.lgraham.senate.gov/public,211 Russell Senate Office Building Washington DC 20510,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,211 Russell Senate Office Building,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Rss.Feed,,NA,NA,G000359,1955-07-09,36782,NA,Lindsey,male,Male,Graham,https://www.govtrack.us/congress/members/lindsey_graham/300047,O.,Sen. Lindsey Graham [R-SC],,,N00009975,NA,"Graham, Lindsey (Sen.) [R-SC]",GrahamBlog,USSenLindseyGraham
NA,,TRUE,Senior Senator for Kentucky,NA,2027-01-03,Senate Minority Leader,Republican,202-224-2541,senator,Senator,class2,Class 2,senior,Senior,2021-01-03,KY,Sen.,Senator,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,https://www.mcconnell.senate.gov/public/index.cfm?p=contact,317 Russell Senate Office Building,http://www.mcconnell.senate.gov/public/?a=rss.feed,,NA,NA,M000355,1942-02-20,2351,NA,Mitch,male,Male,McConnell,https://www.govtrack.us/congress/members/mitch_mcconnell/300072,,Sen. Mitch McConnell [R-KY],,,N00003389,NA,"McConnell, Mitch (Sen.) [R-KY]",McConnellPress,NA
NA,,TRUE,Junior Senator for Oregon,NA,2027-01-03,NA,Democrat,202-224-3753,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,OR,Sen.,Senator,https://www.merkley.senate.gov,531 Hart Senate Office Building Washington DC 20510,https://www.merkley.senate.gov/contact/,531 Hart Senate Office Building,http://www.merkley.senate.gov/rss/,,NA,NA,M001176,1956-10-24,1029842,NA,Jeff,male,Male,Merkley,https://www.govtrack.us/congress/members/jeff_merkley/412325,,Sen. Jeff Merkley [D-OR],,,N00029303,NA,"Merkley, Jeff (Sen.) [D-OR]",SenJeffMerkley,SenatorJeffMerkley
NA,,TRUE,Senior Senator for Rhode Island,NA,2027-01-03,NA,Democrat,202-224-4642,senator,Senator,class2,Class 2,senior,Senior,2021-01-03,RI,Sen.,Senator,https://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,https://www.reed.senate.gov/contact/,728 Hart Senate Office Building,https://www.reed.senate.gov//rss/feeds/?type=all,,NA,NA,R000122,1949-11-12,24239,NA,John,male,Male,Reed,https://www.govtrack.us/congress/members/john_reed/300081,F.,Sen. John F. “Jack” Reed [D-RI],,Jack,N00000362,NA,"Reed, John F. “Jack” (Sen.) [D-RI]",SenJackReed,SenatorReed
NA,,TRUE,Junior Senator for Idaho,NA,2027-01-03,NA,Republican,202-224-2752,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,ID,Sen.,Senator,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,https://www.risch.senate.gov/public/index.cfm?p=Email,483 Russell Senate Office Building,NA,,NA,NA,R000584,1943-05-03,1020034,NA,James,male,Male,Risch,https://www.govtrack.us/congress/members/james_risch/412322,E.,Sen. James Risch [R-ID],,,N00029441,NA,"Risch, James (Sen.) [R-ID]",SenatorRisch,SenatorJamesRisch
NA,,TRUE,Senior Senator for New Hampshire,NA,2027-01-03,NA,Democrat,202-224-2841,senator,Senator,class2,Class 2,senior,Senior,2021-01-03,NH,Sen.,Senator,https://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,https://www.shaheen.senate.gov/contact/contact-jeanne,506 Hart Senate Office Building,http://www.shaheen.senate.gov/rss/,,NA,NA,S001181,1947-01-28,22850,NA,Jeanne,female,Female,Shaheen,https://www.govtrack.us/congress/members/jeanne_shaheen/412323,,Sen. Jeanne Shaheen [D-NH],,,N00024790,NA,"Shaheen, Jeanne (Sen.) [D-NH]",SenatorShaheen,senatorshaheen
NA,,TRUE,Senior Senator for Virginia,NA,2027-01-03,Senate Democratic Conference Vice Chair,Democrat,202-224-2023,senator,Senator,class2,Class 2,senior,Senior,2021-01-03,VA,Sen.,Senator,https://www.warner.senate.gov,703 Hart Senate Office Building Washington DC 20510,https://www.warner.senate.gov/public/index.cfm?p=Contact,703 Hart Senate Office Building,http://www.warner.senate.gov/public/?a=rss.feed,,NA,NA,W000805,1954-12-15,7630,NA,Mark,male,Male,Warner,https://www.govtrack.us/congress/members/mark_warner/412321,R.,Sen. Mark Warner [D-VA],,,N00002097,NA,"Warner, Mark (Sen.) [D-VA]",MarkWarner,SenatorMarkWarner
